2017-04-21 09:54:03.423 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:54:03.527 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:22.084 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 09:54:22.641 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 09:54:23.845 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 09:54:23.911 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:54:23.916 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:54:23.920 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 09:54:24.050 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:27.330 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 034fd95e-3250-4ebc-ba8f-25097785207f
2017-04-21 09:54:27.492 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:38.177 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 06aa2f94-f8cb-4636-a484-ff8edf1c432a
2017-04-21 09:54:38.211 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:38.914 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = adddde44-e49c-475d-b999-069d3db3b57b
2017-04-21 09:54:38.945 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:39.257 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = b17dc952-0a7d-404f-9d9f-953ee1a4f125
2017-04-21 09:54:39.265 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:39.449 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = cbfb024f-96b7-4acd-bc0a-7b6d19f38112
2017-04-21 09:54:39.483 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:39.650 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = b374a788-babc-47b8-8b82-18311645bad7
2017-04-21 09:54:39.684 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:39.826 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = 08d26268-94c8-4bd0-95e9-10ba918b7451
2017-04-21 09:54:39.859 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:54:40.002 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = c4309ebe-05b8-4b99-908e-977f7b6cae89
2017-04-21 09:54:40.036 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 09:56:47.590 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
